2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger initialized.
2025-08-11 19:24:12 - TradeLogger - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger name: TradeLogger
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger initialized.
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger name: Drawdown Monitor
2025-08-11 19:24:12 - Drawdown Monitor - INFO - [DAILY RESET] Portfolio start set to 100,000.00
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.806701+00:00 | enter_short 1 MSFT @ 334.50 | SL:336.3096428571429 TP:332.08714285714285 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:24 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:24.957070+00:00 | enter_short 1 MSFT @ 334.90 | SL:336.9078571428571 TP:332.22285714285715 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:25 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:25.022475+00:00 | enter_short 1 MSFT @ 335.14 | SL:337.1714285714286 TP:332.43142857142857 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:25 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:25.122459+00:00 | enter_short 1 MSFT @ 335.20 | SL:337.2185714285714 TP:332.50857142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:25 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:25.223519+00:00 | enter_short 1 MSFT @ 334.89 | SL:336.9835714285714 TP:332.0985714285714 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:25 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:25.324592+00:00 | enter_short 1 MSFT @ 334.86 | SL:336.93428571428575 TP:332.0942857142857 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:26 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:26.386878+00:00 | enter_short 1 MSFT @ 334.60 | SL:336.6871428571429 TP:331.81714285714287 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:26 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:26.437685+00:00 | enter_short 1 MSFT @ 334.42 | SL:336.5596428571429 TP:331.56714285714287 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:26 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:26.646199+00:00 | enter_short 1 MSFT @ 334.77 | SL:336.70821428571423 TP:332.1857142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:29 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:29.226952+00:00 | enter_short 1 MSFT @ 335.43 | SL:337.2782142857143 TP:332.9657142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:29 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:29.291349+00:00 | enter_short 1 MSFT @ 335.38 | SL:337.00321428571425 TP:333.2157142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:29 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:29.389570+00:00 | enter_short 1 MSFT @ 335.15 | SL:336.8878571428571 TP:332.8328571428571 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:29 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:29.491822+00:00 | enter_short 1 MSFT @ 335.23 | SL:337.0621428571429 TP:332.7871428571429 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:29 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:29.624247+00:00 | enter_short 1 MSFT @ 335.25 | SL:337.0735714285714 TP:332.81857142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:29 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:29.735326+00:00 | enter_short 1 MSFT @ 335.06 | SL:336.6746428571428 TP:332.9071428571429 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:29 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:29.800292+00:00 | enter_short 1 MSFT @ 335.31 | SL:336.96214285714285 TP:333.1071428571429 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:29 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:29.908541+00:00 | enter_short 1 MSFT @ 335.53 | SL:336.5464285714285 TP:334.0053571428571 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.004254+00:00 | enter_short 1 MSFT @ 335.58 | SL:336.6221428571428 TP:334.01678571428573 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.104993+00:00 | enter_short 1 MSFT @ 335.54 | SL:336.5414285714286 TP:334.0378571428572 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.208766+00:00 | enter_short 1 MSFT @ 335.45 | SL:336.44571428571425 TP:333.95642857142855 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.306826+00:00 | enter_short 1 MSFT @ 335.28 | SL:336.8507142857143 TP:333.18571428571425 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.413948+00:00 | enter_short 1 MSFT @ 335.05 | SL:336.8178571428571 TP:332.6928571428572 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.509059+00:00 | enter_short 1 MSFT @ 334.85 | SL:336.60928571428576 TP:332.50428571428574 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.614257+00:00 | enter_short 1 MSFT @ 334.73 | SL:336.545 TP:332.31 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.716460+00:00 | enter_short 1 MSFT @ 334.68 | SL:336.5753571428572 TP:332.15285714285716 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.866255+00:00 | enter_short 1 MSFT @ 334.53 | SL:336.30321428571426 TP:332.1657142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:30 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:30.933512+00:00 | enter_short 1 MSFT @ 334.79 | SL:335.8178571428572 TP:333.2482142857143 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:31 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:31.010144+00:00 | enter_short 1 MSFT @ 334.52 | SL:336.14964285714285 TP:332.34714285714284 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:31 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:31.163304+00:00 | enter_short 1 MSFT @ 334.41 | SL:335.4428571428572 TP:332.8607142857143 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:31 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:31.217137+00:00 | enter_short 1 MSFT @ 334.49 | SL:336.04571428571427 TP:332.4157142857143 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:31 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:31.368685+00:00 | enter_short 1 MSFT @ 334.30 | SL:335.305 TP:332.7925 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:31 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:31.454351+00:00 | enter_short 1 MSFT @ 334.22 | SL:335.23857142857145 TP:332.69214285714287 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:31 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:31.519914+00:00 | enter_short 1 MSFT @ 334.32 | SL:335.93142857142857 TP:332.1714285714286 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:31 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:31.683478+00:00 | enter_short 1 MSFT @ 334.61 | SL:336.45500000000004 TP:332.15 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:31 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:31.728189+00:00 | enter_short 1 MSFT @ 334.65 | SL:336.3267857142857 TP:332.4142857142857 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:31 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:31.874761+00:00 | enter_short 1 MSFT @ 334.46 | SL:336.47749999999996 TP:331.77 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:32 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:32.036985+00:00 | enter_short 1 MSFT @ 334.43 | SL:336.50857142857143 TP:331.6585714285714 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:32 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:32.124897+00:00 | enter_short 1 MSFT @ 334.22 | SL:336.2996428571429 TP:331.44714285714286 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:33 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:33.665050+00:00 | enter_short 1 MSFT @ 334.25 | SL:336.3071428571428 TP:331.50714285714287 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:33 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:33.767862+00:00 | enter_short 1 MSFT @ 334.36 | SL:336.5242857142857 TP:331.4742857142857 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:34 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:34.274424+00:00 | enter_short 1 MSFT @ 333.66 | SL:335.81464285714287 TP:330.7871428571429 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:36 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:36.916914+00:00 | enter_short 1 MSFT @ 334.57 | SL:336.42571428571426 TP:332.0957142857143 TS:None | strat=MomentumStrategy regime=normal
